Driver,LapNumber,Stint,Compound,TyreLife,Position,LapTime,PitOutTime,Is_Pit_Stop
VER,1.0,1.0,SOFT,1.0,1.0,91.585,,False
VER,2.0,1.0,SOFT,2.0,2.0,109.972,,False
VER,3.0,2.0,INTERMEDIATE,1.0,5.0,108.658,0 days 01:05:45.581000,True
VER,4.0,2.0,INTERMEDIATE,2.0,4.0,85.251,,False
VER,5.0,2.0,INTERMEDIATE,3.0,4.0,83.461,,False
VER,6.0,2.0,INTERMEDIATE,4.0,3.0,82.503,,False
VER,7.0,2.0,INTERMEDIATE,5.0,2.0,82.116,,False
VER,8.0,2.0,INTERMEDIATE,6.0,2.0,83.232,,False
VER,9.0,2.0,INTERMEDIATE,7.0,2.0,83.313,,False
VER,10.0,2.0,INTERMEDIATE,8.0,2.0,83.698,,False
VER,11.0,2.0,INTERMEDIATE,9.0,2.0,87.017,,False
VER,12.0,3.0,SOFT,1.0,2.0,98.034,0 days 01:18:43.770000,True
VER,13.0,3.0,SOFT,2.0,1.0,78.775,,False
VER,14.0,3.0,SOFT,3.0,1.0,77.55,,False
VER,15.0,3.0,SOFT,4.0,1.0,76.93,,False
